"Taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Artemisia verlotiorum Lamotte",99.6,9,70.3,2.6
"Cardamine hirsuta L.",99.6,4,84.7,26.2
"Carlina corymbosa L.",99.6,5,85.7,2.2
"Cenchrus incertus M.A.Curtis",99.6,3,84.6,83.9
"Herniaria glabra L. subsp. glabra",99.6,4,84.4,57.8
"Juncus tenageia L.f. subsp. tenageia",99.6,3,85.7,82.6
"Oenanthe globulosa L.",99.6,5,77,22.4
"Pentanema squarrosum (L.) D.Gut.Larr., SantosVicente, Anderb., E.Rico & M.M.Mart.Ort.",99.6,4,85.7,2.2
"Serapias neglecta De Not.",99.6,4,85.7,57.5
"Spartium junceum L.",99.6,6,79.7,17.8
"Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase",99.5,4,85.7,2.2
"Crepis leontodontoides All.",99.5,4,84.8,1.2
"Crepis vesicaria L.",99.5,4,85.7,2.2
"Dipsacus fullonum L.",99.5,5,85.7,2.2
"Hottonia palustris L.",99.5,5,86.1,17.8
"Juncus bufonius L.",99.5,3,85.7,75
"Oenothera biennis L.",99.5,10,84.6,1.3
"Polycarpon tetraphyllum (L.) L. subsp. tetraphyllum",99.5,4,84.8,2.2
"Ranunculus trichophyllus Chaix",99.5,5,85.7,26.2
"Salix cinerea L.",99.5,6,71.3,2.2
"Stachys palustris L.",99.5,5,86.9,2.2
"Xanthium italicum Moretti",99.5,4,83.9,29.1
"Callitriche obtusangula Le Gall",99.4,4,85.7,26.2
"Elodea canadensis Michx.",99.4,8,78.2,2.8
"Nymphaea alba L.",99.4,5,90.9,26.2
"Potamogeton natans L.",99.4,7,85.7,2.2
"Salsola tragus L.",99.4,5,84.6,2.2
"Trifolium fragiferum L. subsp. fragiferum",99.4,6,91.3,2.2
"Galium murale (L.) All.",99.3,4,85.7,2.2
"Helichrysum italicum (Roth) G.Don subsp. italicum",99.3,3,84.8,69.2
"Hordeum bulbosum L.",99.3,3,85.7,66.9
"Linum radiola L.",99.3,3,85.7,66
"Lythrum hyssopifolia L.",99.3,3,85.7,66
"Parthenocissus quinquefolia (L.) Planch.",99.3,4,85.7,29.1
"Plantago bellardii All. subsp. bellardii",99.3,3,85.7,69.2
"Anisantha diandra (Roth) Tutin",99.2,3,85.7,64.8
"Carex flacca Schreb. subsp. flacca",99.2,2,91.3,91.3
"Limbarda crithmoides (L.) Dumort. subsp. longifolia (Arcang.) Greuter",99.2,4,84.6,49.5
"Lysimachia linum-stellatum L.",99.2,3,82.6,77.8
