"x"
"Lolium arundinaceum (Schreb.) Darbysh subsp. arundinaceum"
"Bromus hordeaceus L. subsp. hordeaceus"
"Hordeum murinum L. subsp. leporinum (Link) Arcang."
"Schoenoplectiella mucronata (L.) J.Jung & H.K.Choi"
"Potamogeton pusillus L."
"Polygonum aviculare L. subsp. aviculare"
"Rumex conglomeratus Murray"
"Saponaria officinalis L."
"Cardamine hirsuta L."
"Hypericum perforatum L. subsp. perforatum"
"Thalictrum flavum L."
"Vicia hybrida L."
"Ficaria verna Huds. subsp. verna"
"Fumaria officinalis L. subsp. officinalis"
"Daucus carota L. subsp. carota"
"Arabidopsis thaliana (L.) Heynh."
"Malva punctata (All.) Alef."
"Malva sylvestris L."
"Persicaria amphibia (L.) Delarbre"
"Persicaria decipiens (R.Br.) K.L.Wilson"
"Rumex crispus L."
"Veronica beccabunga L. subsp. beccabunga"
"Stachys heraclea All."
"Lamium maculatum L."
"Galium palustre L. subsp. elongatum (C.Presl) Lange"
"Legousia speculum-veneris (L.) Chaix"
"Senecio vulgaris L. subsp. vulgaris"
"Centaurea nigrescens Willd. subsp. nigrescens"
"Xanthium strumarium L. subsp. strumarium"
"Leontodon hispidus L. subsp. hispidus"
"Taraxacum F.H.Wigg. sect. Taraxacum"
"Sonchus arvensis L. subsp. uliginosus (M.Bieb.) Nyman"
"Lolium perenne L."
"Cyperus longus L."
"Schoenoplectus pungens (Vahl) Palla"
"Carex olbiensis Jord."
"Euphorbia palustris L."
"Sporobolus indicus (L.) R.Br."
"Aira caryophyllea L. subsp. caryophyllea"
"Corynephorus articulatus (Desf.) P.Beauv."
"Trisetaria panicea (Lam.) Paunero"
"Gaudinia fragilis (L.) P.Beauv."
"Festuca ligustica (All.) Bertol."
"Brachypodium retusum (Pers.) P.Beauv."
"Festuca myuros L. subsp. myuros"
"Festuca incurva (Gouan) Gutermann"
"Festuca bromoides L."
"Hordeum bulbosum L."
"Festuca danthonii Asch. & Graebn. subsp. danthonii"
"Catapodium rigidum (L.) C.E.Hubb. subsp. rigidum"
"Anisantha madritensis (L.) Nevski  subsp. madritensis"
"Hordeum marinum Huds."
"Bolboschoenus glaucus (Lam.) S.G.Sm."
"Athyrium filix-femina (L.) Roth"
"Polypodium cambricum L."
"Lagurus ovatus L. subsp. ovatus"
"Polypogon monspeliensis (L.) Desf."
"Agrostis gigantea Roth subsp. gigantea"
"Nassella trichotoma (Nees) Hack."
"Deschampsia cespitosa (L.) P.Beauv. subsp. cespitosa"
"Lolium giganteum (L.) Darbysh."
"Elymus repens (L.) Gould subsp. repens"
"Anisantha sterilis (L.) Nevski"
"Bromus commutatus Schrad. subsp. commutatus"
"Vincetoxicum hirundinaria Medik. subsp. hirundinaria"
"Blackstonia perfoliata (L.) Huds. subsp. perfoliata"
"Centaurium erythraea Rafn subsp. erythraea"
"Centaurium pulchellum (Sw.) Druce subsp. pulchellum"
"Cuscuta epithymum (L.) L. subsp. epithymum"
"Scrophularia canina L."
"Teucrium scordium L. subsp. scordioides (Schreb.) Arcang."
"Scutellaria columnae All. subsp. columnae"
"Teucrium capitatum L. subsp. capitatum"
"Lamium bifidum Cirillo subsp. bifidum"
"Ballota nigra L. subsp. nigra"
"Plantago bellardii All. subsp. bellardii"
"Alkekengi officinarum Moench"
"Bellardia viscosa (L.) Fisch. & C.A.Mey."
"Verbena officinalis L."
"Galium aparine L."
"Galium murale (L.) All."
"Leucanthemum pallens (Perreym.) DC."
"Anthemis cotula L."
"Galatella pannonica (Jacq.) Galasso, Bartolucci & Ardenghi subsp. tripolium (L.) Galasso, Bartolucci & Ardenghi"
"Filago germanica (L.) Huds."
"Campanula rapunculus L."
"Arctium minus (Hill) Bernh."
"Lapsana communis L. subsp. communis"
"Reichardia picroides (L.) Roth"
"Crepis setosa Haller f."
"Asplenium trichomanes L. subsp. trichomanes"
"Polystichum setiferum (Forssk.) Woyn."
"Agrostis canina L. subsp. canina"
"Alopecurus myosuroides Huds. subsp. myosuroides"
"Aira cupaniana Guss."
"Cynosurus echinatus L."
"Briza minor L."
"Briza maxima L."
"Poa angustifolia L."
"Festuca fasciculata Forssk."
"Brachypodium distachyon (L.) P.Beauv."
"Equisetum hyemale L."
"Pancratium maritimum L."
"Juncus littoralis C.A.Mey."
"Ophrys classica Devillers-Tersch. & Devillers"
"Anacamptis papilionacea (L.) R.M.Bateman, Pridgeon & M.W.Chase"
"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase"
"Parietaria judaica L."
"Polycarpon tetraphyllum (L.) L. subsp. tetraphyllum"
"Sabulina mediterranea (Ledeb. ex Link) Rchb."
"Sagina apetala Ard. subsp. apetala"
